"Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Contact Telephone Number","Status Code"
"WINDMILL HEALTH CENTRE","83A WHINMOOR WAY","LEEDS","WEST YORKSHIRE","","","LS14 5BD","0113 2733733","Active"
"ALWOODLEY MEDICAL CENTRE","SAXON MOUNT","MOORTOWN","LEEDS","WEST YORKSHIRE","","LS17 5DT","0113 3930119","Active"
"MANSTON SURGERY","CROSSGATES MEDICAL CENTRE","STATION ROAD","LEEDS","WEST YORKSHIRE","","LS15 8BZ","0113 2645455","Active"
"COLLINGHAM CHURCH VIEW SURGERY","CHURCH VIEW SURGERY","SCHOOL LANE,COLLINGHAM","WETHERBY","WEST YORKSHIRE","","LS22 5BQ","01937 222841","Active"
"HILLFOOT SURGERY","HILLFOOT SURGERY","126 OWLCOTES ROAD, PUDSEY","LEEDS","WEST YORKSHIRE","","LS28 7QR","0113 2574169","Active"
"LEEDS CITY MEDICAL PRACTICE","LEEDS CITY MED PRACTICE","123 CEMETERY RD, BEESTON","LEEDS","","","LS11 8LH","0113 4677500","Active"
"THE NORTH LEEDS MEDICAL PRACTICE","355 HARROGATE ROAD","LEEDS","WEST YORKSHIRE","","","LS17 6PZ","0113 2680066","Active"
"ROBIN LANE HEALTH AND WELLBEING CENTRE","ROBIN LANE","PUDSEY","LEEDS","WEST YORKSHIRE","","LS28 7DE","0113 2576787","Active"
"MANOR PARK SURGERY","MANOR PARK SURGERY","BELLMOUNT CLOSE","BRAMLEY, LEEDS","WEST YORKSHIRE","","LS13 2UP","0113 2394416","Active"
"SHAFTESBURY MEDICAL CTR.","SHAFTESBURY MEDICAL CTR","78 OSMONDTHORPE LANE","LEEDS","WEST YORKSHIRE","","LS9 9EF","0113 2409500","Active"
"CRAVEN ROAD MEDICAL PRACTICE","CRAVEN ROAD MEDICAL PRACT","CRAVEN ROAD MEDICAL CTR","60 CRAVEN ROAD","LEEDS","","LS6 2RX","0113 2953530","Active"
"MULBERRY STREET MEDICAL PRACTICE","PUDSEY HEALTH CENTRE","18 MULBERRY ST, PUDSEY","LEEDS","","","LS28 7XP","0113 2570711","Active"
"DIAMOND MEDICAL GROUP","DIAMOND MEDICAL GROUP","SCOTT HALL ROAD","LEEDS","","","LS7 3DR","0113 2007474","Active"
"LOFTHOUSE SURGERY","2 CHURCH FARM CLOSE","LEEDS ROAD, LOFTHOUSE","WAKEFIELD","WEST YORKSHIRE","","WF3 3SA","01924 822273","Active"
"OAKWOOD LANE MEDICAL PRACTICE","2 AMBERTON TERRACE","LEEDS","WEST YORKSHIRE","","","LS8 3BZ","0113 2214700","Active"
"THE AVENUE SURGERY","24 THE AVENUE","ALWOODLEY","LEEDS","","","LS17 7BE","0113 2953780","Closed"
"PRIORY VIEW MEDICAL CENTRE","PRIORY VIEW MEDICAL CTR","2A GREEN LANE","LEEDS","WEST YORKSHIRE","","LS12 1HU","0113 2954260","Active"
"HYDE PARK SURGERY","HYDE PARK SURGERY","WOODSLEY ROAD","LEEDS","","","LS6 1SG","0113 2001090","Active"
"THE LODGE MEDICAL CENTRE","THE LODGE MEDICAL CENTRE","1A GRANGE PARK AVENUE","LEEDS","","","LS8 3BA","0113 2656454","Closed"
"SOUTH QUEEN MEDICAL CENTRE","SOUTH QUEEN ST MED CTRE","SOUTH QUEEN STREET,MORLEY","LEEDS","","","LS27 9EW","0113 2534863","Active"
"WESTGATE SURGERY","WESTGATE SURGERY","WESTGATE, OTLEY","LEEDS","WEST YORKSHIRE","","LS21 3HD","01943 660533","Active"
"BURTON CROFT SURGERY","BURTON CROFT SURGERY","1 SHIRE OAK ST,HEADINGLEY","LEEDS","WEST YORKSHIRE","","LS6 2AF","0113 2744777","Active"
"WESTFIELD MEDICAL CENTRE","1ST FLOOR REGINALD CENTRE","263 CHAPELTOWN ROAD","LEEDS","WEST YORKSHIRE","","LS7 3EX","0113 4679744","Closed"
"CHEVIN MEDICAL PRACTICE","BRIDGE STREET MED PRACT","3 BRIDGE STREET, OTLEY","LEEDS","WEST YORKSHIRE","","LS21 1BQ","01943 858300","Active"
"CROSSLEY STREET SURGERY","CROSSLEY STREET SURGERY","CROSSLEY STREET","WETHERBY","WEST YORKSHIRE","","LS22 6RT","01937 543200","Active"
"SPA SURGERY","SPA SURGERY","205 HIGH ST, BOSTON SPA","WETHERBY","","","LS23 6PY","01937 842842","Active"
"SOUTH BANK SURGERY","SOUTH BANK SURGERY","HUNSLET HEALTH CENTRE","24 CHURCH STREET","LEEDS","","LS10 2PT","0113 2705194","Active"
"GIBSON LANE PRACTICE","GIBSON LANE PRACTICE","GIBSON LANE, KIPPAX","LEEDS","WEST YORKSHIRE","","LS25 7JN","0113 2870870","Active"
"RADSHAN MEDICAL CENTRE","RADSHAN MEDICAL CENTRE","33-35 BUTT HILL, KIPPAX","LEEDS","","","LS25 7JU","0113 2861891","Closed"
"GUISELEY AND YEADON MEDICAL PRACTICE","YEADON HEALTH CENTRE","17 SOUTH VIEW ROAD,YEADON","LEEDS","WEST YORKSHIRE","","LS19 7PS","0113 8879742","Active"
"ALLERTON MEDICAL CENTRE","ALLERTON MEDICAL CENTRE","6 MONTREAL AVENUE","LEEDS","WEST YORKSHIRE","","LS7 4LF","0113 2953460","Active"
"VESPER ROAD","VESPER ROAD SURGERY","43 VESPER ROAD","LEEDS","","","LS5 3QT","0113 2751248","Active"
"LINGWELL CROFT SURGERY","LINGWELL CROFT SURGERY","16 SHELLDRAKE DRIVE","MIDDLETON, LEEDS","","","LS10 3NB","0113 2704848","Active"
"EAST PARK MEDICAL CENTRE","EAST PARK MEDICAL CENTRE","5-7 EAST PARK ROAD","LEEDS","WEST YORKSHIRE","","LS9 9JD","0113 8878134","Active"
"IRELAND WOOD SURGERY","IRELAND WOOD SURGERY","IVESON APPROACH","LEEDS","WEST YORKSHIRE","","LS16 6FR","0113 2303470","Active"
"CHARLES STREET SURGERY","CHARLES STREET SURGERY","CHARLES STREET, OTLEY","LEEDS","WEST YORKSHIRE","","LS21 1BJ","01943 466124","Closed"
"RAWDON SURGERY","RAWDON SURGERY","11 NEW ROAD SIDE, RAWDON","LEEDS","WEST YORKSHIRE","","LS19 6DD","0113 2954234","Closed"
"GARFORTH MEDICAL CENTRE","GARFORTH MEDICAL CENTRE","CHURCH LANE, GARFORTH","LEEDS","WEST YORKSHIRE","","LS25 1HB","0113 2877321","Active"
"WOODHOUSE MEDICAL PRACTICE","WOODHOUSE HEALTH CENTRE","CAMBRIDGE ROAD","LEEDS","WEST YORKSHIRE","","LS6 2SF","0113 2213510","Active"
"WEST LODGE SURGERY","WEST LODGE SURGERY","NEW STREET,FARSLEY,PUDSEY","LEEDS","WEST YORKSHIRE","","LS28 5DL","0113 2570295","Active"
"AIRE VALLEY SURGERY","SILVER LANE SURGERY","1 SUFFOLK COURT","SILVER LANE","YEADON,LEEDS","","LS19 7JN","0113 2954234","Active"
"PARK ROAD & MENSTON","PARK ROAD MEDICAL CENTRE","44 PARK ROAD","GUISELEY,LEEDS","","","LS20 8AR","01943 874151","Active"
"THE GARDEN SURGERY","THE GARDEN SURGERY","ELHC 78 OSMONDTHORPE LANE","LEEDS","","","LS9 9EF","0113 2009190","Active"
"ASHFIELD MEDICAL CENTRE","ASHFIELD MEDICAL CENTRE","15 AUSTHORPE ROAD","CROSSGATES","LEEDS","","LS15 8BA","0113 2951828","Active"
"SHADWELL MEDICAL CENTRE","SHADWELL MEDICAL CENTRE","137 SHADWELL LANE","LEEDS","","","LS17 8AE","0113 2371914","Closed"
"WINDSOR HOUSE GROUP PRACTICE","WINDSOR HOUSE SURGERY","2 CORPORATION ST, MORLEY","LEEDS","WEST YORKSHIRE","","LS27 9NB","0113 2525223","Active"
"DR KW MCGECHAEN & PARTNER","SUNFIELD MEDICAL CENTRE","SUNFIELD PLACE","STANNINGLEY","PUDSEY","","LS28 6DR","0113 2058100","Closed"
"MEANWOOD HEALTH CENTRE","MEANWOOD HEALTH CENTRE","548 MEANWOOD ROAD","LEEDS","WEST YORKSHIRE","","LS6 4JN","0113 2305055","Active"
"THORNTON MEDICAL CENTRE","THORNTON MEDICAL CENTRE","15 GREEN LANE, TONG ROAD","LEEDS","WEST YORKSHIRE","","LS12 1JE","0113 2310626","Active"
"HAREHILLS CORNER SURGERY","HAREHILLS CORNER SURGERY","209 ROUNDHAY ROAD","LEEDS","","","LS8 4HQ","0113 2217217","Active"
"THE MEDICAL CENTRE","846 YORK ROAD","LEEDS","WEST YORKSHIRE","","","LS14 6DX","0113 2647278","Active"
"LEIGH VIEW MEDICAL PRACTICE","LEIGH VIEW MEDICAL CENTRE","BRADFORD ROAD, TINGLEY","WAKEFIELD","WEST YORKSHIRE","","WF3 1RQ","0113 2537628","Active"
"MOOR GRANGE","60 MOOR GRANGE VIEW","LEEDS","","WEST YORKSHIRE","","LS16 5BJ","0113 2954880","Closed"
"THE STREET LANE PRACTICE","THE STREET LANE PRACTICE","12 DEVONSHIRE AVENUE","ROUNDHAY","LEEDS","","LS8 1AY","0113 2371128","Active"
"THE DEKEYSER GROUP PRACTICE","FOUNTAIN MEDICAL CENTRE","LITTLE FOUNTAIN ST,MORLEY","LEEDS","WEST YORKSHIRE","","LS27 9EN","0113 2951600","Active"
"ABBEY GRANGE MEDICAL PRACTICE","ABBEY MEDICAL CENTRE","NORMAN STREET","LEEDS","WEST YORKSHIRE","","LS5 3JN","0113 2951844","Active"
"BURLEY PARK MEDICAL CENTRE","BURLEY PARK MEDICAL CTR.","273 BURLEY ROAD","LEEDS","","","LS4 2EL","0113 2953850","Active"
"AIREBOROUGH FAMILY PRACTICE","SILVER LANE SURGERY","1 SUFFOLK COURT","SILVER LANE","YEADON,LEEDS","","LS19 7JN","0113 3911950","Active"
"WHITEHALL SURGERY","WORTLEY BECK HEALTH CTR","RING RD, LOWER WORTLEY","LEEDS","","","LS12 5SG","0113 4677533","Active"
"FIELDHEAD SURGERY","FIELDHEAD","65 NEW ROAD SIDE","HORSFORTH","LEEDS","","LS18 4JY","0113 2953410","Closed"
"DR T P FOX & PARTNERS","COLTON MILL MEDICAL CTR","STILE HILL WAY","LEEDS","WEST YORKSHIRE","","LS15 9JH","0113 2951803","Active"
"GRANGE MEDICARE - NEW CROSS SURGERY","ROTHWELL HEALTH CENTRE","STONE BRIG LANE, ROTHWELL","LEEDS","WEST YORKSHIRE","","LS26 0UE","0113 4677511","Closed"
"BELLBROOKE SURGERY","BELLBROOKE SURGERY","BELLBROOKE AVE, HAREHILLS","LEEDS","","","LS9 6AU","0113 8879565","Active"
"LAUREL BANK SURGERY","LAUREL BANK SURGERY","216B KIRKSTALL LANE","LEEDS","","","LS6 3DS","0113 2953900","Active"
"NOVA SCOTIA MEDICAL CNTR","NOVA SCOTIA MEDICAL CNTR","22A LEEDS ROAD","ALLERTON BYWATER","CASTLEFORD","","WF10 2DP","01977 552193","Active"
"WOODLANDS SURGERY","178 CHAPELTOWN ROAD","LEEDS","","","","LS7 4HP","0113 2621239","Closed"
"KIPPAX HALL SURGERY","KIPPAX HALL SURGERY","54 HIGH STREET, KIPPAX","LEEDS","","","LS25 7AB","0113 3854558","Active"
"PARK EDGE PRACTICE","PARK EDGE PRACTICE","ASKET DRIVE","LEEDS","WEST YORKSHIRE","","LS14 1HX","0113 2954650","Active"
"DR S M CHEN & PARTNER","THE GABLES SURGERY","231 SWINNOW ROAD","PUDSEY, LEEDS","WEST YORKSHIRE","","LS28 9AW","0113 2574730","Active"
"SHAFTON LANE SURGERY","20A SHAFTON LANE","HOLBECK","LEEDS","","","LS11 9RE","0113 2056561","Closed"
"ARTHINGTON MEDICAL CENTRE","ARTHINGTON MEDICAL CENTRE","5 MOOR ROAD","LEEDS","","","LS10 2JJ","0113 3852180","Active"
"ST MARTINS PRACTICE","ST MARTINS PRACTICE","210 CHAPELTOWN ROAD","LEEDS","","","LS7 4HZ","0113 2211888","Active"
"GILDERSOME HEALTH CENTRE","GILDERSOME HEALTH CENTRE","FINKLE LANE,GILDERSOME","NR. LEEDS","","","LS27 7HL","0113 2535134","Active"
"THE RICHMOND MEDICAL CTR.","THE RICHMOND MEDICAL CTR.","15 UPPER ACCOMMODATION RD","LEEDS","","","LS9 8RZ","0113 2480948","Closed"
"CONWAY MEDICAL CENTRE","CONWAY MEDICAL CENTRE","51-53 CONWAY PLACE","LEEDS","","","LS8 5DE","0113 3918100","Active"
"BRAMLEY VILLAGE HEALTH & WELLBEING CTR","16 HIGHFIELD ROAD","BRAMLEY","LEEDS","","","LS13 2BL","0113 2563250","Active"
"FOUNDRY LANE SURGERY","95 MORESDALE LANE","LEEDS","","","","LS14 6GG","0113 2951200","Active"
"MOORCROFT SURGERY","SAXON MOUNT","MOORTOWN","LEEDS","WEST YORKSHIRE","","LS17 5DT","0113 3930119","Closed"
"CHAPELTOWN FAMILY SURGERY","CHAPELTOWN FAMILY SURGERY","CHAPELTOWN HEALTH CENTRE","SPENCER PLACE","LEEDS","","LS7 4BB","0113 2407000","Active"
"KIRKSTALL LANE MEDICAL CENTRE","KIRKSTALL LANE MED CTRE","216 KIRKSTALL LANE","LEEDS","WEST YORKSHIRE","","LS6 3DS","0113 2953666","Active"
"LEEDS STUDENT MEDICAL PRACTICE","LEEDS STUDENT MED.PRACT.","4 BLENHEIM COURT","BLENHEIM WALK, LEEDS","","","LS2 9AE","0113 2954488","Active"
"ASHTON VIEW MEDICAL CTR","ASHTON VIEW MEDICAL CTR","7 ASHTON VIEW","LEEDS","","","LS8 5BS","0113 2953880","Active"
"WETHERBY SURGERY","WETHERBY SURGERY","HALLFIELD LANE","WETHERBY","WEST YORKSHIRE","","LS22 6JS","01937 585669","Closed"
"DR A KHAN & K MUNEER","HUNSLET HEALTH CENTRE","24 CHURCH STREET","LEEDS","","","LS10 2PT","0113 2705620","Closed"
"THE SURGERY","179 YORK ROAD","LEEDS","WEST YORKSHIRE","","","LS9 7RD","0113 2480268","Closed"
"DR S HUSSAIN","CHURCH STREET SURGERY","57 CHURCH STREET","HUNSLET","LEEDS","","LS10 2PE","0113 2711884","Active"
"THE ROUNDHAY ROAD SURGERY","173 ROUNDHAY ROAD","","LEEDS","","","LS8 5AN","0113 2350379","Active"
"FAMILY DOCTORS","5 AUSTHORPE VIEW","HALTON RING ROAD","LEEDS","","","LS15 8NN","0113 2602262","Active"
"ONE MEDICARE LLP","HILTON ROAD SURGERY","67 HILTON ROAD","LEEDS","WEST YORKSHIRE","","LS8 4HA","0113 2392557","Closed"
"LONDESBOROUGH HOUSE SURGERY","LONDESBOROUGH HSE SURGERY","1 EAST PARK PARADE","LEEDS","","","LS9 9NQ","0113 2482454","Closed"
"OAKWOOD SURGERY","OAKWOOD SURGERY","GLEDHOW RISE","LEEDS","","","LS8 4AA","0113 2951515","Closed"
"BEECH TREE MEDICAL CENTRE","THE BEECH TREE MED.CTR.","178 HENCONNER LANE","LEEDS","","","LS13 4JH","0113 2630112","Active"
"MOORFIELD HOUSE SURGERY","MOORFIELD HOUSE SURGERY","11 WAKEFIELD RD,GARFORTH","LEEDS","WEST YORKSHIRE","","LS25 1AN","0113 2862214","Active"
"NEWTON SURGERY","NEWTON SURGERY","305 CHAPELTOWN ROAD","LEEDS","","","LS7 3JT","0113 2953737","Active"
"BEESTON VILLAGE SURGERY","BEESTON VILLAGE SURGERY","BEESTON DISTRICT CENTRE","TOWN STREET","BEESTON, LEEDS","","LS11 8PN","0113 2720720","Active"
"YORK STREET HEALTH PRACTICE","68 YORK STREET","LEEDS","","","","LS9 8AA","0113 2954840","Active"
"WHINMOOR SURGERY","WHINMOOR SURGERY","WHITE LAITHE APPROACH","WHINMOOR","LEEDS","","LS14 2EH","0113 2953295","Closed"
"HAWTHORN SURGERY","HAWTHORN SURGERY","WORTLEY BECK HC, RING RD","LOWER WORTLEY","LEEDS","","LS12 5SG","0113 2954770","Active"
"WETHERBY & BRAMHAM SURGERY","WETHERBY HEALTH CENTRE","HALLFIELD LANE","WETHERBY","","","LS22 6JS","01937 845854","Active"
"DR GOULD AND AL-TIMMAN","DYNELEY HOUSE","10 ALLERTON HILL","CHAPEL ALLERTON","LEEDS","","LS7 3QB","0113 2401234","Closed"
"LINCOLN GREEN MEDICAL CENTRE","BURMANTOFTS HEALTH CENTRE","CROMWELL MOUNT","LEEDS","WEST YORKSHIRE","","LS9 7TA","0113 2211900","Active"
"DRIGHLINGTON MEDICAL CENTRE","DRIGHLINGTON MEDICAL CTR","STATION ROAD,DRIGHLINGTON","BRADFORD","","","BD11 1JU","0113 2956888","Active"
"LEEDS MUSCULOSKELETAL SERVICE","MSK OFFICE,WETHERBY H.CTR","HALLFIELD LANE","WETHERBY","","","LS22 6JS","01937 522861","Active"
"GRANGE MEDICARE - MIDDLETON PARK","MIDDLETON CLINIC","MIDDLETON PARK AVENUE","LEEDS","","","LS10 4HT","0113 2771627","Closed"
"CHILDRENS SERVICES","ST GEORGE'S CENTRE","ST GEORGE'S ROAD","LEEDS","WEST YORKSHIRE","","LS10 4UZ","0113 3929848","Closed"
"DONISTHORPE HALL NURSING HOME","SHADWELL LANE","LEEDS","","","","LS17 6AW","0113 2684248","Active"
"HEALTH CARE FIRST PARTNERSHIP","PINFOLD SURGERY","PINFOLD LANE,METHLEY","LEEDS","WEST YORKSHIRE","","LS26 9AA","01977 664141","Active"
"COTTINGLEY MEDICAL PRACTICE","COTTINGLEY COMMUNITY CTRE","115 COTTINGLEY APPROACH","LEEDS","","","LS11 0HJ","0113 2954388","Closed"
"LEEDS NORTH WEST PCT ENT GPWSI SERVICE","NORTH WEST HOUSE","WEST PARK RING ROAD","LEEDS","","","LS16 6QG","0113 3057120","Closed"
"LEEDS NORTH WEST PCT VASECTOMY SERVICE","NORTH WEST HOUSE","WEST PARK RING ROAD","LEEDS","","","LS16 6QG","0113 3057120","Active"
"WHEATFIELDS SRC HOSPICE","GROVE ROAD","HEADINGLEY","LEEDS","","","LS6 2AE","0113 2787249","Active"
"COMMUNITY PAEDIATRIC CLINIC","ST GEORGE'S CENTRE","ST GEORGE'S ROAD","LEEDS","WEST YORKSHIRE","","LS10 4UZ","0113 3929829","Closed"
"ST GEMMA'S HOSPICE","329 HARROGATE ROAD","","LEEDS","","","LS17 6QD","0113 2185294","Active"
"ST MARTINS HEALTHCARE SERVICES","ST MARTINS H/CARE SERVS","MILL 2, MABGATE MILLS","LEEDS","WEST YORKSHIRE","","LS9 7DZ","0113 2444102","Closed"
"COMMUNITY UROLOGY SERVICE","FOUNTAIN MEDICAL CENTRE","LITTLE FOUNTAIN STREET","MORLEY","LEEDS","","LS27 9EN","0113 2951605","Active"
"COMMUNITY GYNAE SERVICE","BEESTON HILL HC","123 CEMETERY ROAD","LEEDS","","","LS11 8LH","0113 8431000","Active"
"ENT CLINIC","COLTON MILL MEDICAL CTR","STILE HILL WAY","LEEDS","","","LS15 9JB","0113 2952992","Closed"
"INTERMEDIATE CARE (WEST 2)","STOCKDALE HOUSE","VICTORIA ROAD","LEEDS","","","LS6 1PF","0113 8433483","Closed"
"GRANGE MEDICARE - SWILLINGTON HP","SWILLINGTON HEALTH PRACT","HILL CREST CLOSE","SWILLINGTON, LEEDS","","","LS26 8DZ","0113 2871444","Closed"
"COMMUNITY GYNAECOLOGY SERVICE","ARMLEY MOOR HEALTH CENTRE","95 TOWN STREET","LEEDS","","","LS12 3HD","0113 2951288","Active"
"S. LEEDS CAMHS - PARKSIDE","S. LEEDS CAMHS - PARKSIDE","311 DEWSBURY ROAD","LEEDS","","","LS11 5LQ","0113 8430804","Closed"
"LEEDS COMMUNITY CAMHS","KIRKSTALL HEALTH CENTRE","15 MORRIS LANE","LEEDS","WEST YORKSHIRE","","LS5 3DB","0113 8432710","Active"
"EAST CAMHS","1ST FLOOR,REGINALD CENTRE","263 CHAPLETOWN ROAD","LEEDS","","","LS7 3EX","0113 8434468","Closed"
"CHILD & FAMILY UNIT 2","CHILD & FAMILY UNIT 2","E.CAMHS,ST JAMES HOSPITAL","LEEDS","","","LS9 7TF","0113 2064033","Closed"
"LITTLE WOODHOUSE HALL","LITTLE WOODHOUSE HALL","18 CLARENDON ROAD","LEEDS","WEST YORKSHIRE","","LS2 9NT","0113 3057200","Active"
"LEEDS COMMUNITY CARDIAC SERVICE","CHAPELTOWN HEALTH CENTRE","SPENCER PLACE","LEEDS","","","LS7 4BB","0113 2951000","Active"
"LEEDS VPS","LCD @ ST GEORGES CENTRE","ST GEORGE'S RD, MIDDLETON","LEEDS","WEST YORKSHIRE","","LS10 4UZ","0845 1207069","Active"
"INTERMEDIATE CARE TEAM","RICHMOND HOUSE","RICHMOND ROAD","FARSLEY, LEEDS","","","LS28 5ST","0113 2146199","Closed"
"LEEDS COMMUNITY GERIATRICIAN SERVICE","BUILDING 3","WHITE ROSE OFFICE PARK","LEEDS","WEST YORKSHIRE","","LS11 0DL","0113 2208500","Active"
"COMMUNITY INTERMEDIATE CARE UNIT","J31, BECKETT WING","SJUH, BECKETT STREET","LEEDS","","","LS9 7TF","0113 2069131","Closed"
"YOUNG PERSONS DRUG SERVICE- PLATFORM","17-18 ARMLEY PARK COURT","STANNINGLEY ROAD","LEEDS","","","LS12 2AE","0113 3971300","Closed"
"COMMUNITY EYE CLINIC","COMMUNITY EYE CLINIC","RUTLAND LODGE","LEEDS","","","LS7 3DR","0113 3057690","Closed"
"INTERMEDIATE CARE","1ST FLOOR,YORK TOWERS","383 YORK ROAD","LEEDS","","","LS9 6TA","0113 2064227","Closed"
"LEEDS CIRCUMCISION SERVICE","ASHTON VIEW MEDICAL CTR.","7 ASHTON VIEW","LEEDS","","","LS8 5BS","0113 2953880","Active"
"EARLY BREAK","ST PHILLIPS GRASSROOT CTR","LEEDS RD","NELSON","","","BB9 9XB","01282 604022","Active"
"COMMUNITY CHILD HEALTH","ST JAMES'S UNIVERSITY HPL","BECKETT STREET","LEEDS","","","LS9 7TF","0113 2064327","Closed"
"STREET LANE DERMATOLOGY CLINIC","STREET LANE PRACTICE","12 DEVONSHIRE AVENUE","LEEDS","","","LS8 1AY","0113 2953838","Active"
"ONE MEDICARE LLP-THE LIGHT","ONE MEDICARE LLP","BALCONY, LEVEL 7","THE LIGHT, THE HEADROW","LEEDS","","LS1 8TL","0113 2427425","Active"
"LEEDS SEXUAL HEALTH SERVICE","BEESTON HILL HC","123 CEMETERY ROAD","LEEDS","WEST YORKSHIRE","","LS11 8LH","0113 8434495","Active"
"LEEDS ADDICTION UNIT","19 SPRINGFIELD MOUNT","LEEDS","WEST YORKSHIRE","","","LS2 9NG","0113 8559540","Closed"
"S.LEEDS PALLCARE DAY SERV","C/O WHEATFIELD'S HOSPICE","GROVE ROAD","HEADINGLEY, LEEDS","","","LS6 2AE","0113 2787249","Active"
"GPWSI SEXUAL HEALTH SCREENING SERVICE","LEEDS STUDENT MED PRAC","4 BLENHEIM COURT","BLENHEIM WALK","LEEDS","","LS2 9AE","0113 2954488","Active"
"HMP LEEDS","HMP LEEDS","GLOUCESTER TERRACE,ARMLEY","LEEDS","","","LS12 2TJ","0113 2032600","Active"
"LEEDS SPECIALIST CHILDREN'S SERVICE","BUILDING 3","WHITE ROSE OFFICE PARK","LEEDS","WEST YORKSHIRE","","LS11 0DL","0113 2208500","Active"
"LEEDS YOUTH OFFENDING SERVICE","YOUTH JUSTICE CENTRE","CHURCH STREET","LEEDS","WEST YORKSHIRE","","LS10 2AY","0113 3782055","Active"
"NE INTERMEDIATE CARE","NE INTERMEDIATE CARE","RUTLAND LODGE","LEEDS","","","LS7 3DR","0113 3954715","Closed"
"ROBIN LANE OPTHALMOLOGY SERVS","ROBIN LANE MEDICAL CENTRE","ROBIN LANE, PUDSEY","LEEDS","","","LS28 7DE","0113 2951440","Active"
"SHAKESPEARE MEDICAL PRACTICE","BURMANTOFTS HEALTH CENTRE","CROMWELL MOUNT","LEEDS","WEST YORKSHIRE","","LS9 7TA","0113 2951132","Active"
"HMP WEALSTUN","CHURCH CAUSEWAY","THORP ARCH","WETHERBY","WEST YORKSHIRE","","LS23 7AZ","01937 444720","Active"
"HMP/YOI WETHERBY","YORK ROAD","","WETHERBY","WEST YORKSHIRE","","LS22 5ED","01937 544440","Active"
"MARTIN HOUSE HOSPICE","MARTIN HOUSE","GROVE ROAD, CLIFFORD","WETHERBY","","","LS23 6TX","01937 845045","Active"
"CHILD DEVELOPMENT CENTRE (EAST/NE)","THE REGINALD CENTRE","263 CHAPELTOWN ROAD","LEEDS","WEST YORKSHIRE","","LS7 3EX","0113 8435700","Closed"
"LEODIS COMMUNITY DERMATOLOGY CLINIC","THORPE PARK CLINIC","4600 PARK APPROACH","LEEDS","","","LS15 8GB","0113 2328277","Active"
"CHEVIN MEDICAL CONSULTANCY ENT SERVICE","TREDGOLD CRES","BRAMHOPE","LEEDS","WEST YORKSHIRE","","LS16 9BR","0113 2303206","Active"
"MEANWOOD GROUP PRACTICE ENT SERVICE","MEANWOOD HEALTH CENTRE","548 MEANWOOD ROAD","LEEDS","WEST YORKSHIRE","","LS6 4JN","0113 2618510","Active"
"LEEDS LOCAL PAEDIATRIC CLINICS","CHILD HEALTH - ST MARY'S","GREENHILL ROAD","LEEDS","","","LS12 3QE","0113 3055240","Closed"
"COMMUNITY PAEDIATRICS (SILCS)","CHILD HEALTH - ST MARY'S","GREENHILL ROAD","LEEDS","","","LS12 3QE","0113 3055240","Closed"
