"name","address","phone"
"Rutland Lodge Medical Practice","27 Carlton Gardens, Leeds, West Yorkshire, LS7 1JL","0113 200 7474"
"Sandal Castle Medical Centre","Asdale Road, Wakefield, West Yorkshire, WF2 7JE","01924 258955"
"Savile Road Surgery","90 Savile Road, Dewsbury, West Yorkshire, WF12 9LP","01924 465725"
"Savile Town Medical Ctr.","Scarborough Street, Savile Town, Dewsbury, Dewsbury, West Yorkshire, WF12 9AY","01924 461124"
"Scholes Surgery","96 Main Street, Scholes, Leeds, West Yorkshire, LS15 4DR","0113 264 5414"
"Shadwell Medical Centre","137 Shadwell Lane, Leeds, LS17 8AE",NA
"Shaftesbury Medical Ctr.","78 Osmondthorpe Lane, Leeds, West Yorkshire, LS9 9EF","0113 240 9500"
"Shakespeare Medical Practice","Burmantofts Health Centre, Cromwell Mount, Leeds, West Yorkshire, LS9 7TA","0113 295 1132"
"Sharlston Medical Practice","Clifton Road, Sharlston Common, Wakefield, West Yorkshire, WF4 1AF","01924 862621"
"Shenstone House Surgery","Elland Road, Churwell, Leeds, West Yorkshire, LS27 7PX","0333 242 7777"
"Sherburn - Old Hungate Hospital","Finkle Hill, Sherburn In Elmet, Leeds, North Yorkshire, LS25 6EB",NA
"Sherburn Group Practice","Beech Grove, Sherburn In Elmet, Leeds, West Yorkshire, LS25 6ED","01977 682208"
"Shipley Medical Practice-Affinity Care","Shipley Medical Practice, Alexandra Road, Shipley, BD18 3EG","01274 531153"
"Sidings Healthcare Centre","Saville Healthcare Centre, The Sidings, Dewsbury, WF12 9QU","01924 458787"
"South Bank Surgery","Hunslet Health Centre, 24 Church Street, Hunslet, Leeds, West Yorkshire, LS10 2PT","0113 733 2003"
"South Milford Surgery","High Street, South Milford, Leeds, West Yorkshire, LS25 5AA","01977 682202"
"South Milford Surgery - Micklefield","Churchville Terrace, Micklefield, Leeds, West Yorkshire, LS25 4AR","01977 682202"
"South Milford Surgery - Thorpe Willoughby","12 Fox Lane, Thorpe Willoughby, Selby, North Yorkshire, YO8 9NA","01977 682202"
"South Queen Medical Centre","South Queen St Medical Centre, South Queen Street, Morley, Leeds, West Yorkshire, LS27 9EW","0113 253 4863"
"Spa Surgery","205 High St, Boston Spa, Wetherby, West Yorkshire, LS23 6PY","01937 842842"
"Springbank Surgery","York Road, Green Hammerton, York, North Yorkshire, YO26 8BN","01423 330030"
"St Martins Practice","St. Martins Surgery, 210 Chapeltown Road, Leeds, West Yorkshire, LS7 4HZ","0113 221 1888"
"St Thomas Road Surgery","St. Thomas Road, Featherstone, Pontefract, WF7 5HE","01977 801363"
"Stanley","Stanley Health Centre, Lake Lock Road, Stanley, Wakefield, West Yorkshire, WF3 4HS","01924 822328"
"Station Lane","Station Lane Medical Centre, Station Lane, Featherstone, Pontefract, West Yorkshire, WF7 6JL","01977 600381"
"Staycity York (Nimbuscare)","2 Oak Rise, York, YO24 4LJ","01904 943690"
"Stockwell Road Surgery","21 Stockwell Road, Knaresborough, North Yorkshire, HG5 0JY","01423 867433"
"Strayside Health","Mowbray Square Medical Centre, Myrtle Square, Harrogate, North Yorkshire, HG1 5AR","01423 566574"
"Stuart Road","The Surgery, Stuart Road, Pontefract, West Yorkshire, WF8 4PQ","01977 703437"
"Swillington Medical Practice (Dr Freeman & Partners)","Hill Crest Close, Swillington, Leeds, LS26 8DZ","0113 287 1444"
"Tadcaster Medical Centre","Crab Garth, Tadcaster, North Yorkshire, LS24 8HD","01937 530082"
"The Albion Mount Medical Practice","47 Albion Street, Dewsbury, West Yorkshire, WF13 2AJ","01924 430676"
"The Avenue Surgery","24 The Avenue, Alwoodley, Leeds, West Yorkshire, LS17 7BE",NA
"The Avicenna Medical Practice","Barkerend Health Centre, Barkerend Road, Bradford, West Yorkshire, BD3 8QH","01274 664464"
"The City Medical Practice","Westbourne Green Chc Centre, 50 Heaton Road, Bradford, BD8 8RA","01274 256213"
"The Dekeyser Group Practice","Little Fountain Street, Morley, Leeds, West Yorkshire, LS27 9EN","0113 295 1600"
"The Garden Surgery","78a Osmondthorpe Lane, Leeds, West Yorkshire, LS9 9EF","0113 200 9190"
"The Grange Medical Centre","Dr T Fox And Partners The Grange Medical Centre, 999 York Road, Seacroft, Leeds, West Yorkshire, LS14 6NX","0113 295 1800"
